2024-05-01, 71, 34, Güneşli
2024-05-02, 80, -1, Karlı
2024-05-03, 81, 17, Bulutlu
2024-05-04, 50, 12, Yağmurlu
2024-05-05, 40, 1, Karlı
2024-05-06, 59, 19, Yağmurlu
2024-05-07, 69, -5, Karlı
2024-05-08, 50, 20, Yağmurlu
2024-05-09, 68, 4, Karlı
2024-05-10, 40, -4, Karlı
2024-05-11, 82, 5, Karlı
2024-05-12, 81, 22, Bulutlu
2024-05-13, 86, 23, Bulutlu
2024-05-14, 82, -4, Karlı
2024-05-15, 49, 22, Güneşli
2024-05-16, 55, 14, Yağmurlu
2024-05-17, 50, 20, Bulutlu
2024-05-18, 53, 28, Güneşli
2024-05-19, 58, -4, Karlı
2024-05-20, 57, 4, Karlı
2024-05-21, 81, 18, Bulutlu
2024-05-22, 59, 20, Bulutlu
2024-05-23, 90, -2, Karlı
2024-05-24, 64, 29, Güneşli
2024-05-25, 59, -3, Karlı
2024-05-26, 59, 23, Bulutlu
2024-05-27, 55, 33, Güneşli
2024-05-28, 54, -4, Karlı
2024-05-29, 76, 16, Yağmurlu
2024-05-30, 84, 20, Güneşli
2024-05-31, 69, 28, Güneşli
2024-06-01, 73, 2, Karlı
2024-06-02, 50, 22, Güneşli
2024-06-03, 80, 21, Güneşli
2024-06-04, 52, 5, Karlı
2024-06-05, 78, 20, Bulutlu
2024-06-06, 54, 23, Bulutlu
2024-06-07, 66, 2, Karlı
2024-06-08, 86, -4, Karlı
2024-06-09, 41, 21, Bulutlu
2024-06-10, 49, 14, Yağmurlu
2024-06-11, 75, 25, Güneşli
2024-06-12, 80, 4, Karlı
2024-06-13, 62, 11, Yağmurlu
2024-06-14, 55, -3, Karlı
2024-06-15, 81, 20, Yağmurlu
2024-06-16, 48, 23, Bulutlu
2024-06-17, 87, 24, Bulutlu
2024-06-18, 86, -5, Karlı
2024-06-19, 83, 16, Yağmurlu
2024-06-20, 90, 18, Bulutlu
2024-06-21, 81, 32, Güneşli
2024-06-22, 88, 27, Güneşli
2024-06-23, 83, 17, Yağmurlu
2024-06-24, 74, 17, Yağmurlu
2024-06-25, 61, 20, Yağmurlu
2024-06-26, 49, 17, Bulutlu
2024-06-27, 50, 30, Güneşli
2024-06-28, 75, 35, Güneşli
2024-06-29, 64, 11, Yağmurlu
2024-06-30, 76, -2, Karlı
2024-07-01, 70, 33, Güneşli
2024-07-02, 57, 16, Bulutlu
2024-07-03, 55, 10, Yağmurlu
2024-07-04, 61, 23, Bulutlu
2024-07-05, 67, 27, Güneşli
2024-07-06, 53, 4, Karlı
2024-07-07, 68, -3, Karlı
2024-07-08, 83, 0, Karlı
2024-07-09, 55, 23, Bulutlu
2024-07-10, 59, 20, Güneşli
2024-07-11, 88, 12, Yağmurlu
2024-07-12, 83, 2, Karlı
2024-07-13, 50, 18, Yağmurlu
2024-07-14, 46, 29, Güneşli
2024-07-15, 81, 18, Bulutlu
2024-07-16, 41, 18, Yağmurlu
2024-07-17, 75, 18, Yağmurlu
2024-07-18, 75, -5, Karlı
2024-07-19, 90, 3, Karlı
2024-07-20, 54, 15, Bulutlu
2024-07-21, 63, 18, Bulutlu
2024-07-22, 49, 13, Yağmurlu
2024-07-23, 52, 10, Yağmurlu
2024-07-24, 57, 10, Yağmurlu
2024-07-25, 58, 22, Güneşli
2024-07-26, 82, 21, Bulutlu
2024-07-27, 75, 17, Yağmurlu
2024-07-28, 81, 23, Bulutlu
2024-07-29, 53, 34, Güneşli
2024-07-30, 43, 12, Yağmurlu
2024-07-31, 52, -2, Karlı
2024-08-01, 79, -4, Karlı
2024-08-02, 55, 2, Karlı
2024-08-03, 68, 18, Yağmurlu
2024-08-04, 70, -2, Karlı
2024-08-05, 47, 20, Yağmurlu
2024-08-06, 61, 14, Yağmurlu
2024-08-07, 55, 21, Bulutlu
2024-08-08, 85, 0, Karlı
2024-08-09, 41, 20, Güneşli
2024-08-10, 57, 32, Güneşli
2024-08-11, 65, 23, Bulutlu
2024-08-12, 55, 20, Bulutlu
2024-08-13, 67, 3, Karlı
2024-08-14, 41, 18, Bulutlu
2024-08-15, 69, 28, Güneşli
2024-08-16, 81, 17, Yağmurlu
2024-08-17, 72, 4, Karlı
2024-08-18, 56, 11, Yağmurlu
2024-08-19, 85, 18, Bulutlu
2024-08-20, 53, 33, Güneşli
2024-08-21, 55, 24, Bulutlu
2024-08-22, 78, 13, Yağmurlu
